Product_ID,N° Order,Marque,Nom de modèle,Device Type,Device Catégorie,Data Entry,DATE,Lien Référence,photos,released date,released date New,battrie,Bluetooth,Chipset,CPU,Dimensions,resolution ecran,Taille de l'écran,Display_type,GPU,Internal_memory,Technologie cellulaire,NFC,OS,Primary_camera,ram,Secondary_camera,SIM,USB,WLAN,Dual SIM,Images,Photos Status,Device Availability,Device Status,send date,Type de mémoire flash,Capacité de stockage de la mémoire,Compatibilité du périphérique,Caractéristique spéciale,Vitesse de lecture,Dimensions du produit,Poids du produit,Couleur,Type de casque,Technologie de connectivité,Matériau,Distance focale,Composants inclus,Tension d'entrée,Nombre total de ports USB,Puissance,Technologie de communication sans fil,Composants inclus.1,Tranche d'âge (description),Style,Screen Size,Special Feature,Shape,Target Audience,Compatible Devices,Distance focale.1,Capacité de la batterie,Usages recommandés pour le produit,Composition de la pile,Source d'alimentation,Vitesse d'écriture,Modèles de téléphones compatibles,Type de fixation,Type de câble,Genre du connecteur,Type de haut-parleur,Type de contrôleur,Niveau de résistance à l'eau,Longeure du cable (Mettre),Liens photos,Audit,date,translation en arabe,date translation,Commity Meeting,Validation Date,Status,Commity Meeting.1,Validation Date.1,Refference,"Marque,Nom de modèle,Device Type,photos,released date,battrie,Bluetooth,Chipset,CPU,Dimensions,resolution ecran,Taille de l'écran,Display_type,GPS,GPU,Internal_memory,Memory_card,Technologie cellulaire,NFC,OS,Primary_camera,ram ,Secondary_camera,SIM,USB,WLAN",Responsable,Utilisateurs,Price_DZD
DJZ-00001,1.0,Samsung,Samsung SM-B315E,BasicPhone,Basic Phone,,,https://multimedia.bbycastatic.ca/multimedia/products/500x500/166/16644/16644371_1.jpeg,1- Samsung SM-B315E.jpg, III. trimestre 2014 ,2014-09-01, 800 mAh,,,,,128 x 160 px ,2.00,TFT Display,,8 MB,2G,,Android 9.0  Android 8.1,,4 MB,,Mini-SIM,,,Y,1- Samsung SM-B315E.jpg,Available,Ok,Sent,2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://multimedia.bbycastatic.ca/multimedia/products/500x500/166/16644/16644371_1.jpeg, ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMCHOICE,"Samsung,Samsung SM-B315E,BasicPhone,1- Samsung SM-B315E.jpg, III. trimestre 2014 , 800 mAh,,,,,128 x 160 px ,2.00,TFT Display,,,8 MB,,2G,,Android 9.0  Android 8.1,,4 MB,,Mini-SIM,,",Hayet. KEIDA,4958.0,"2,700 DZD"
DJZ-00002,2.0,Samsung,Samsung GT-E1200R,BasicPhone,Basic Phone,,,https://m.phonegg.com/27/2788b-1.jpg,2- Samsung GT-E1200R.jpg,II. trimestre 2012,2012-04-01, 800 mAh,,,,108.00 x 45.00 x 13.50 mm,128 x 128 px,1.52,Couleur / TFT,,32 MB,2G,,Android 9.0,,4 MB,,Sim Standard,,,N,2- Samsung GT-E1200R.jpg,Available,Ok,Sent,2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://m.phonegg.com/27/2788b-1.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,PHONEGG,"Samsung,Samsung GT-E1200R,BasicPhone,2- Samsung GT-E1200R.jpg,II. trimestre 2012, 800 mAh,,,,108.00 x 45.00 x 13.50 mm,128 x 128 px,1.52,Couleur / TFT,,,32 MB,,2G,,Android 9.0,,4 MB,,Sim Standard,,",Hayet. KEIDA,12068.0,"4,700 DZD"
DJZ-00003,3.0,Samsung,Samsung GT-E1207Y,BasicPhone,Feature Phone,,,https://files.gsmchoice.com/phones/samsung-gt-e1207/samsung-gt-e1207-big.jpg,3- Samsung GT-E1207Y.jpg,,1899-12-31, 800 mAh,,,,108.00 x 45.50 x 13.50 mm,128 x 128 px,1.52,Couleur / TFT,,8 MB,2G,,Android 10.0,,4 MB,,,,,Y,3- Samsung GT-E1207Y.jpg,Available,Ok,Sent,2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://files.gsmchoice.com/phones/samsung-gt-e1207/samsung-gt-e1207-big.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung GT-E1207Y,BasicPhone,3- Samsung GT-E1207Y.jpg,, 800 mAh,,,,108.00 x 45.50 x 13.50 mm,128 x 128 px,1.52,Couleur / TFT,,,8 MB,,2G,,Android 10.0,,4 MB,,,,",Hayet. KEIDA,10497.0,"4,200 DZD"
DJZ-00004,4.0,Samsung,Samsung Galaxy A10s,Smartphone,Smartphone,,,https://webstar-electro.com/documents/document_service_99526_632_5_1409152724.jpg,4- Samsung Galaxy A10s.jpg,2019-8-27,2019-08-27,4000 mAh,4.2_A2DP_LE,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,156.9 x 75.8 x 7.8 mm (6.18 x 2.98 x 0.31 in),720 x 1520 px,6.2  Pouces,PLS LCD,PowerVR GE8320,32 GB,LTE,NO,Android 9.0,"Dual 13 MP_f/1.8_28mm (wide)_AF
2 MP_f/2.4_(depth)
Features LED flash_panorama_HDR
Video 1080p@30fps",2 GB / 3GB,"Single 8 MP_ f/2.0
Video 1080p@30fps",Single SIM (Nano-SIM) or Dual SIM (Nano-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct,Y,4- Samsung Galaxy A10s.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://webstar-electro.com/documents/document_service_99526_632_5_1409152724.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung Galaxy A10s,Smartphone,4- Samsung Galaxy A10s.jpg,2019-8-27,4000 mAh,4.2_A2DP_LE,Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,156.9 x 75.8 x 7.8 mm (6.18 x 2.98 x 0.31 in),720 x 1520 px,6.2  Pouces,PLS LCD,,PowerVR GE8320,32 GB,,LTE,NO,Android 9.0,Dual 13 MP_f/1.8_28mm (wide)_AF
2 MP_f/2.4_(depth)
Features LED flash_panorama_HDR
Video 1080p@30fps,2 GB / 3GB,Single 8 MP_ f/2.0
Video 1080p@30fps,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct",Hayet. KEIDA,13498.0,"27,900 DZD"
DJZ-00005,5.0,Samsung,Samsung Galaxy J4 Plus,Smartphone,Smartphone,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j4-plus-sm-j415f.jpg,5- Samsung Galaxy J4 Plus.jpg,2018-10-,2018-10-01,3300 mAh,4.2_A2DP_LE,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),720 x 1480 px ,6 Pouces,IPS LCD,Adreno 308,32 GB,LTE,Yes (market dependent),Android 8.1 (Oreo),"Single 13 MP_f/1.9_28mm (wide)_AF
Features LED flash_panorama_HDR
Video 1080p@30fps",2 GB / 3 GB,"Single 5 MP_ f/2.2
Features LED flash",Dual SIM (Nano-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct,Y,5- Samsung Galaxy J4 Plus.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j4-plus-sm-j415f.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung Galaxy J4 Plus,Smartphone,5- Samsung Galaxy J4 Plus.jpg,2018-10-,3300 mAh,4.2_A2DP_LE,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),720 x 1480 px ,6 Pouces,IPS LCD,,Adreno 308,32 GB,,LTE,Yes (market dependent),Android 8.1 (Oreo),Single 13 MP_f/1.9_28mm (wide)_AF
Features LED flash_panorama_HDR
Video 1080p@30fps,2 GB / 3 GB,Single 5 MP_ f/2.2
Features LED flash,Dual SIM (Nano-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct",Hayet. KEIDA,15188.0,"26,000 DZD"
DJZ-00006,6.0,Samsung,Samsung Galaxy J6 Plus,Smartphone,Smartphone,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j6-plus-sm-j610f.jpg,6- Samsung Galaxy J6 Plus.jpg,2018-10-,2018-10-01,3300 mAh,4.2_A2DP_LE,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),720 x 1480 px,6 Pouces,IPS LCD,Adreno 308,32 GB/ 64 GB,LTE,Yes (market dependent),"Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), One UI","Dual 13 MP_f/1.9_28mm (wide)_AF
5 MP_f/1.9_(depth)
Features LED flash_panorama_HDR
Video 1080p@30fps",3 GB/ 4 GB,"Single 8 MP_ f/1.9
Features LED flash
Video 1080p@30fps",Single SIM (Nano-SIM) or Dual SIM (Nano-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct,Y,6- Samsung Galaxy J6 Plus.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j6-plus-sm-j610f.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung Galaxy J6 Plus,Smartphone,6- Samsung Galaxy J6 Plus.jpg,2018-10-,3300 mAh,4.2_A2DP_LE,Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,161.4 x 76.9 x 7.9 mm (6.35 x 3.03 x 0.31 in),720 x 1480 px,6 Pouces,IPS LCD,,Adreno 308,32 GB/ 64 GB,,LTE,Yes (market dependent),Android 8.1 (Oreo), upgradable to Android 9.0 (Pie), One UI,Dual 13 MP_f/1.9_28mm (wide)_AF
5 MP_f/1.9_(depth)
Features LED flash_panorama_HDR
Video 1080p@30fps,3 GB/ 4 GB,Single 8 MP_ f/1.9
Features LED flash
Video 1080p@30fps,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct",Hayet. KEIDA,18722.0,"30,500 DZD"
DJZ-00007,7.0,Samsung,Samsung Galaxy J2 Prime Plus,Smartphone,Smartphone,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-prime-2016.jpg,7- Samsung Galaxy J2 Prime Plus.jpg,2016-11-,2016-11-01, 2600 mAh,4.2_A2DP_LE,Mediatek MT6737T (28 nm),Quad-core 1.4 GHz Cortex-A53,144.8 x 72.1 x 8.9 mm (5.70 x 2.84 x 0.35 in),540 x 960,5 Pouces,PLS LCD,Mali-T720MP2,8 GB/ 16 GB/ 32 GB,LTE,No,Android 6.0,"Single 8 MP_f/2.2_AF
Features LED flash
Video 720p@30fps",1.5 GB/ 2 GB,"Single 5 MP_ f/2.2
Features LED flash",Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct,Y,7- Samsung Galaxy J2 Prime Plus.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j2-prime-2016.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung Galaxy J2 Prime Plus,Smartphone,7- Samsung Galaxy J2 Prime Plus.jpg,2016-11-, 2600 mAh,4.2_A2DP_LE,Mediatek MT6737T (28 nm),Quad-core 1.4 GHz Cortex-A53,144.8 x 72.1 x 8.9 mm (5.70 x 2.84 x 0.35 in),540 x 960,5 Pouces,PLS LCD,,Mali-T720MP2,8 GB/ 16 GB/ 32 GB,,LTE,No,Android 6.0,Single 8 MP_f/2.2_AF
Features LED flash
Video 720p@30fps,1.5 GB/ 2 GB,Single 5 MP_ f/2.2
Features LED flash,Single SIM (Micro-SIM) or Hybrid Dual SIM (Micro-SIM_ dual stand-by),microUSB 2.0_OTG,Wi-Fi 802.11 b/g/n_Wi-Fi Direct",Hayet. KEIDA,12677.0,"19,300 DZD"
DJZ-00008,8.0,Samsung,Samsung Galaxy M20,Smartphone,Smartphone,,,https://fdn2.mobgsm.com/vv/bigpic/samsung-galaxy-m20-m205f.jpg,8- Samsung Galaxy M20.jpg,2019-2-,2019-02-01,5000 mAh,5.0_A2DP_LE,Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),156.4 x 74.5 x 8.8 mm (6.16 x 2.93 x 0.35 in),1080 x 2340 px,6.3 Pouces,PLS LCD,Mali-G71 MP2,32 GB/ 64 GB,LTE,Yes (market/region dependent),"Android 8.1 (Oreo), upgradable to Android 10, One UI 2","Dual 13 MP_f/1.9_1/3.1""_1.12µm_PDAF
5 MP_f/2.2_12mm (ultrawide)
Features LED flash_panorama_HDR
Video 1080p@30fps",3 GB/ 4 GB,"Single 8 MP_ f/2.0_ 25mm (wide)
Features HDR
Video 1080p@30fps",Dual SIM (Nano-SIM_ dual stand-by),USB Type-C 2.0,Wi-Fi 802.11 b/g/n_Wi-Fi Direct,Y,8- Samsung Galaxy M20.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fdn2.mobgsm.com/vv/bigpic/samsung-galaxy-m20-m205f.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,MOBGSM,"Samsung,Samsung Galaxy M20,Smartphone,8- Samsung Galaxy M20.jpg,2019-2-,5000 mAh,5.0_A2DP_LE,Exynos 7904 (14 nm),Octa-core (2x1.8 GHz Cortex-A73 & 6x1.6 GHz Cortex-A53),156.4 x 74.5 x 8.8 mm (6.16 x 2.93 x 0.35 in),1080 x 2340 px,6.3 Pouces,PLS LCD,,Mali-G71 MP2,32 GB/ 64 GB,,LTE,Yes (market/region dependent),Android 8.1 (Oreo), upgradable to Android 10, One UI 2,Dual 13 MP_f/1.9_1/3.1""_1.12µm_PDAF
5 MP_f/2.2_12mm (ultrawide)
Features LED flash_panorama_HDR
Video 1080p@30fps,3 GB/ 4 GB,Single 8 MP_ f/2.0_ 25mm (wide)
Features HDR
Video 1080p@30fps,Dual SIM (Nano-SIM_ dual stand-by),USB Type-C 2.0,Wi-Fi 802.11 b/g/n_Wi-Fi Direct",Hayet. KEIDA,12863.0,"23,600 DZD"
DJZ-00009,9.0,Samsung,Samsung Galaxy A21s,Smartphone,Smartphone,EXISTING ,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a21s-.jpg,9- Samsung Galaxy A21s.jpg,2020-06-02,2020-06-02,5000 mAh,5.0_A2DP_LE,Exynos 850 (8nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),163.7 x 75.3 x 8.9 mm (6.44 x 2.96 x 0.35 in),1600 x 720 pixels,6.5 Pouces, PLS LCD, Mali-G52,32 Go/ 64 Go/128GO,4G,Yes (market/region dependent),Android 10.0,"Quad 48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP_f/2.2_12mm (ultrawide)_1/4.0""_1.12µm
5 MP_f/2.2_(depth)
Features LED flash_panorama_HDR
Video 4K@30fps_1080p@30fps_gyro-EIS",2GB/6GB,"Single  13 MP, f/2.2, (wide), 1/3.1"", 1.12µm
Features HDR
Video 1080p@30fps",Single SIM (Nano-SIM) or Dual SIM (Nano-SIM_ dual stand-by),USB Type-C 2.0,Wi-Fi 802.11 a/b/g/n/ac_dual-band_Wi-Fi Direct,Y,9- Samsung Galaxy A21s.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a21s-.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung Galaxy A21s,Smartphone,9- Samsung Galaxy A21s.jpg,43984,5000 mAh,5.0_A2DP_LE,Exynos 850 (8nm),Octa-core (4x2.0 GHz Cortex-A55 & 4x2.0 GHz Cortex-A55),163.7 x 75.3 x 8.9 mm (6.44 x 2.96 x 0.35 in),1600 x 720 pixels,6.5 Pouces, PLS LCD,, Mali-G52,32 Go/ 64 Go/128GO,,4G,Yes (market/region dependent),Android 10.0,Quad 48 MP, f/2.0, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP_f/2.2_12mm (ultrawide)_1/4.0""_1.12µm
5 MP_f/2.2_(depth)
Features LED flash_panorama_HDR
Video 4K@30fps_1080p@30fps_gyro-EIS,2GB/6GB,Single  13 MP, f/2.2, (wide), 1/3.1"", 1.12µm
Features HDR
Video 1080p@30fps,Single SIM (Nano-SIM) or Dual SIM (Nano-SIM_ dual stand-by),USB Type-C 2.0,Wi-Fi 802.11 a/b/g/n/ac_dual-band_Wi-Fi Direct",Hayet. KEIDA,11979.0,"54,300 DZD"
DJZ-00010,10.0,Samsung,Samsung Galaxy M11,Smartphone,Smartphone,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m11-sm-m115.jpg,10- Samsung Galaxy M11.jpg,2020-5-4,2020-05-04,5000 mAh,4.2_A2DP,Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,161.4 x 76.3 x 9 mm (6.35 x 3.00 x 0.35 in),720 x 1560 px,6.4 Pouces,PLS LCD,Adreno 506,32 GB/ 64 GB,4G,No,Android 10.0,"Triple 13 MP_f/1.8_27mm (wide)_1/3.1""_1.12µm_PDAF
5 MP_f/2.2_14mm (ultrawide)
2 MP_f/2.4_(depth)
Features LED flash_panorama_HDR
Video 1080p@30fps",3 GB/ 4 GB,"Single 8 MP_ f/2.0_ (wide)
Features HDR
Video 1080p@30fps",Dual SIM (Nano-SIM_ dual stand-by),USB Type-C 2.0,Wi-Fi 802.11 b/g/n_Wi-Fi Direct,Y,10- Samsung Galaxy M11.jpg,Available,Ok,Sent,2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m11-sm-m115.jpg,ok,2023-11-09,OK,2023-11-22,1.0,2023-05-07,,,,GSMARENA,"Samsung,Samsung Galaxy M11,Smartphone,10- Samsung Galaxy M11.jpg,2020-5-4,5000 mAh,4.2_A2DP,Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,161.4 x 76.3 x 9 mm (6.35 x 3.00 x 0.35 in),720 x 1560 px,6.4 Pouces,PLS LCD,,Adreno 506,32 GB/ 64 GB,,4G,No,Android 10.0,Triple 13 MP_f/1.8_27mm (wide)_1/3.1""_1.12µm_PDAF
5 MP_f/2.2_14mm (ultrawide)
2 MP_f/2.4_(depth)
Features LED flash_panorama_HDR
Video 1080p@30fps,3 GB/ 4 GB,Single 8 MP_ f/2.0_ (wide)
Features HDR
Video 1080p@30fps,Dual SIM (Nano-SIM_ dual stand-by),USB Type-C 2.0,Wi-Fi 802.11 b/g/n_Wi-Fi Direct",Hayet. KEIDA,10243.0,"23,000 DZD"
