product_id,product_name,category,description,price,user_query,relevance_label
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,4a,0
5b33db8f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,to,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,wifi,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,ech,1
0946d7f7,EL DJAZIRA CULD010 TYPE C,Accessoire_General,CULD010 TYPE C,550 DA,ccessoire audio,0
5b33db8f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,routeur modm,1
9cb292bd,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,ohlder,0
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,wifi,1
5b33db8f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,4g,1
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,920,1
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,drw,1
0ae3b7d8,ZTE BLADE V60 DESIGN,Smartphone,ZTE BLADE V60 DESIGN,32 900 DA,m915vv,0
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,accessoirea udio,0
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,wifi,0
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,charging,0
9cb292bd,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,c8a1,0
5b33db8f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,ttype,0
026e501d,Revaleo RCB 003 MICRO USB,Accessoire_Charge,RCB 003 MICRO USB,500 DA,rcb,1
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,wiifi,1
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,hoco car,0
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,hoco qc3,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,d link clé,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,tab,0
9129a21d,TECNO SPARK Go 1,Smartphone,SPARK Go 1,18 000 DA,go,1
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,b1,1
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,d llink d,1
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,c81a,0
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,d lin,1
737d1d6b,ZTE NUBIA Neo2 5G,Smartphone,ZTE NUBIA Neo2 5G,49 900 DA,nneo2,1
aedf3d03,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,accessoire general,0
d1abf471,HOCO Dual Port C88A MICRO,Accessoire_Audio,Dual Port C88A MICRO,900 DA,revaleeo,0
aedf3d03,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,hoco cuup,0
9cb292bd,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,ablette,1
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,wiifi,1
9cb292bd,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,rtcc,0
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,d tech,1
cdc65717,ZTE BLADE A75,Smartphone,ZTE BLADE A75,31 900 DA,zte zte,1
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,d llink d,1
318ee4df,Revaleo AUX TK 79,Accessoire_General,AUX TK 79,400 DA,hocoo,0
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,smartphnoe,0
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,accessoire charge,0
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,tba,0
5b33db8f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,car,0
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,hocco écouteurs,0
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,psd002,0
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,el djazra,0
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,4g,1
5b33db8f,TCL HH40L1,Routeur_Modem,TCL HH40L1,8 690 DA,typpe,0
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,chargeur,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,d link cél,1
f207d538,ZTE Blade A55,Smartphone,Blade A55,20 900 DA,zte,1
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,accessoire ggeneral,0
139d2fb5,EL DJAZIRA CULD012 MICRO USB,Accessoire_Charge,CULD012 MICRO USB,500 DA,el djazira,1
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,atb,1
f1987c36,EL DJAZIRA CHARGEUR PSLD002,Accessoire_Charge,CHARGEUR PSLD002,3 000 DA,ype,0
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,z40,0
9dd6883e,HOCO Silicone 2 4A  X86 IP,Accessoire_Audio,Silicone 2 4A  X86 IP,1 200 DA,fcld,0
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,m15v,1
f207d538,ZTE Blade A55,Smartphone,Blade A55,20 900 DA,zte blade,1
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,m9155v,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,w25,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,91m0,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,d tech tabltete,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,hhoco,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,d tech,0
cdc65717,ZTE BLADE A75,Smartphone,ZTE BLADE A75,31 900 DA,m1,0
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,wifi,1
81099cf1,HOCO Z40 Superior dual port car,Accessoire_Audio,Z40 Superior dual port car,1 200 DA,acessoire audio,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,el djazra cculd009,0
8193aed5,HOCO PWB 20 000 mah J52A,Accessoire_Audio,PWB 20 000 mah J52A,4 300 DA,j52a,1
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,d tech,0
aedf3d03,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,drw,1
81099cf1,HOCO Z40 Superior dual port car,Accessoire_Audio,Z40 Superior dual port car,1 200 DA,supperior,1
6f789ee4,Revaleo TK 77 TIPE C,Accessoire_General,TK 77 TIPE C,600 DA,reavleo,1
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,10,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,type,0
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,hooc,0
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,hh40l1,0
f5350ba5,D Link Clé 4G DWR 910M Wifi,Routeur_Modem,Clé 4G DWR 910M Wifi,4 500 DA,silicoe,0
4310cc39,HOCO Chargeur N13 Type C TO IP,Accessoire_Audio,Chargeur N13 Type C TO IP,3 800 DA,u3sb,0
06dc318d,HOCO IN CAR HOLDER CA76,Accessoire_Audio,IN CAR HOLDER CA76,1 600 DA,aaccessoire charge,0
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,4g,1
f8cf95c6,Revaleo CABLE TK 77 IOS,Accessoire_Charge,CABLE TK 77 IOS,600 DA,77,1
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,routeu modem,1
aedf3d03,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,rouuteur modem,1
a1b76c05,EL DJAZIRA FCLD010 MICRO USB,Accessoire_Charge,FCLD010 MICRO USB,1 300 DA,fcld010,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,ta,1
9cb292bd,D Tech Tablette D Tech 7,Tablette,Tablette D Tech 7,13 200 DA,atblette,1
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,dwr,1
e73471e1,D Link DWR M920 B1,Routeur_Modem,D Link DWR M920 B1,8 900 DA,routeur modem,1
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,d tech,1
30887e16,Revaleo LCH 086 QC3 3A TYPE C,Accessoire_General,LCH 086 QC3 3A TYPE C,1 250 DA,accessoire general,1
51c3b694,D Tech Tablette D Tech 10,Tablette,Tablette D Tech 10,18 100 DA,tablette,1
6c3ac5c8,HOCO CAR FM Transmitter E59,Accessoire_Audio,CAR FM Transmitter E59,2 500 DA,fm,1
844c2ce6,D Tech Tablette D Tech 8,Tablette,Tablette D Tech 8,15 500 DA,fcld008,0
82197887,ZTE NUBIA MUSIC POP ART,Smartphone,NUBIA MUSIC POP ART,25 500 DA,zet nubia,1
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,accessoire audoi,0
737d1d6b,ZTE NUBIA Neo2 5G,Smartphone,ZTE NUBIA Neo2 5G,49 900 DA,hoco true,0
87f8f1c1,D Link BOX Home M915V,Routeur_Modem,BOX Home M915V,9 100 DA,c80a,0
aedf3d03,D Link DWR M961,Routeur_Modem,D Link DWR M961,9 900 DA,routeur modem,1
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,accessoire charge,0
9129a21d,TECNO SPARK Go 1,Smartphone,SPARK Go 1,18 000 DA,go,1
ed82fff0,HOCO Silicone 3A X86 Type C,Accessoire_Audio,Silicone 3A X86 Type C,1 200 DA,accessoire auio,1
737d1d6b,ZTE NUBIA Neo2 5G,Smartphone,ZTE NUBIA Neo2 5G,49 900 DA,el djaziira,0
df7a5817,D Link DWR G403,Routeur_Modem,D Link DWR G403,10 500 DA,el djazirra,0
